,Company Name,Form Type,CIK,Date Filed,File Name,Date_filed
29,1 800 FLOWERS COM INC,10-Q,1084869,2005-02-04,edgar/data/1084869/0001084869-05-000009.txt,2005-02-04
190,1ST STATE BANCORP INC,10-Q,1074078,2005-02-14,edgar/data/1074078/0000914317-05-000593.txt,2005-02-14
323,3CI COMPLETE COMPLIANCE CORP,10-Q,883787,2005-02-14,edgar/data/883787/0001104659-05-006239.txt,2005-02-14
324,3COM CORP,10-Q,738076,2005-01-05,edgar/data/738076/0001104659-05-000277.txt,2005-01-05
488,510152 N B LTD,10-Q,1101202,2005-01-11,edgar/data/1101202/0000934798-05-000006.txt,2005-01-11
569,8X8 INC /DE/,10-Q,1023731,2005-02-14,edgar/data/1023731/0001023731-05-000004.txt,2005-02-14
735,AAC Group Holding Corp.,10-Q,1311835,2005-01-11,edgar/data/1311835/0000950134-05-000526.txt,2005-01-11
785,AAR CORP,10-Q,1750,2005-01-05,edgar/data/1750/0001104659-05-000400.txt,2005-01-05
856,AASTROM BIOSCIENCES INC,10-Q,887359,2005-02-08,edgar/data/887359/0000950137-05-001363.txt,2005-02-08
911,ABAXIS INC,10-Q,881890,2005-02-09,edgar/data/881890/0001275287-05-000494.txt,2005-02-09
1270,ABIOMED INC,10-Q,815094,2005-02-08,edgar/data/815094/0001104659-05-004667.txt,2005-02-08
1330,ABLE ENERGY INC,10-Q,1065728,2005-02-14,edgar/data/1065728/0001188112-05-000285.txt,2005-02-14
1383,ABM INDUSTRIES INC /DE/,10-Q,771497,2005-03-10,edgar/data/771497/0000950134-05-004607.txt,2005-03-10
1748,ABRAMS INDUSTRIES INC,10-Q,1923,2005-03-17,edgar/data/1923/0000950144-05-002749.txt,2005-03-17
1922,"ACCELRYS, INC.",10-Q,1002388,2005-02-09,edgar/data/1002388/0001104659-05-004835.txt,2005-02-09
1949,ACCENTURE LTD,10-Q,1134538,2005-01-10,edgar/data/1134538/0000950137-05-000233.txt,2005-01-10
2053,ACCESS CAPITAL STRATEGIES COMMUNITY INVESTMENT FUND INC/MA,10-Q,1040241,2005-01-07,edgar/data/1040241/0001193125-05-003183.txt,2005-01-07
2193,ACCREDO HEALTH INC,10-Q,1068887,2005-02-09,edgar/data/1068887/0000950144-05-001066.txt,2005-02-09
2233,ACCUPOLL HOLDING CORP,10-Q,764794,2005-02-14,edgar/data/764794/0001185185-05-000080.txt,2005-02-14
2257,ACE CASH EXPRESS INC/TX,10-Q,849116,2005-02-08,edgar/data/849116/0000950134-05-002239.txt,2005-02-08
2272,ACE COMM CORP,10-Q,1017526,2005-01-27,edgar/data/1017526/0000950133-05-000247.txt,2005-01-27
2399,ACETO CORP,10-Q,2034,2005-02-09,edgar/data/2034/0001188112-05-000226.txt,2005-02-09
2413,ACG HOLDINGS INC,10-Q,856710,2005-02-14,edgar/data/856710/0000950144-05-001383.txt,2005-02-14
2581,ACR GROUP INC,10-Q,711307,2005-01-14,edgar/data/711307/0001193125-05-006574.txt,2005-01-14
2658,ACTION PERFORMANCE COMPANIES INC,10-Q,892147,2005-02-09,edgar/data/892147/0000950153-05-000225.txt,2005-02-09
2696,ACTIVANT SOLUTIONS INC /DE/,10-Q,1059103,2005-02-11,edgar/data/1059103/0000950134-05-002633.txt,2005-02-11
2704,ACTIVCARD CORP,10-Q,1183941,2005-02-09,edgar/data/1183941/0001193125-05-022529.txt,2005-02-09
2772,ACTIVISION INC /NY,10-Q,718877,2005-02-08,edgar/data/718877/0001104659-05-004430.txt,2005-02-08
2813,ACTUANT CORP,10-Q,6955,2005-01-07,edgar/data/6955/0001193125-05-002791.txt,2005-01-07
2853,ACUITY BRANDS INC,10-Q,1144215,2005-01-06,edgar/data/1144215/0001193125-05-002028.txt,2005-01-06
2976,ACXIOM CORP,10-Q,733269,2005-02-07,edgar/data/733269/0000733269-05-000003.txt,2005-02-07
3245,ADAPTEC INC,10-Q,709804,2005-02-07,edgar/data/709804/0001104659-05-004338.txt,2005-02-07
3266,ADC TELECOMMUNICATIONS INC,10-Q,61478,2005-03-09,edgar/data/61478/0001206774-05-000289.txt,2005-03-09
3332,ADDVANTAGE TECHNOLOGIES GROUP INC,10-Q,874292,2005-02-11,edgar/data/874292/0001096802-05-000004.txt,2005-02-11
3337,ADE CORP,10-Q,884498,2005-03-14,edgar/data/884498/0001193125-05-049540.txt,2005-03-14
3390,ADEPT TECHNOLOGY INC,10-Q,865415,2005-02-15,edgar/data/865415/0000950005-05-000232.txt,2005-02-15
3590,ADMIRAL FINANCIAL CORP,10-Q,828530,2005-02-14,edgar/data/828530/0000943440-05-000067.txt,2005-02-14
3756,ADVANCED BIO/CHEM INC,10-Q,1059677,2005-01-03,edgar/data/1059677/0001059677-05-000002.txt,2005-01-03
3803,ADVANCED DIGITAL INFORMATION CORP,10-Q,770403,2005-03-11,edgar/data/770403/0001193125-05-047509.txt,2005-03-11
3874,ADVANCED LIGHTING TECHNOLOGIES INC,10-Q,1002125,2005-01-21,edgar/data/1002125/0000950152-05-000411.txt,2005-01-21
3876,ADVANCED MAGNETICS INC,10-Q,792977,2005-02-10,edgar/data/792977/0001104659-05-005236.txt,2005-02-10
4378,ADVISORY BOARD CO,10-Q,1157377,2005-02-09,edgar/data/1157377/0000950133-05-000404.txt,2005-02-09
4460,ADVO INC,10-Q,801622,2005-02-03,edgar/data/801622/0001193125-05-018704.txt,2005-02-03
4659,"AEOLUS PHARMACEUTICALS, INC.",10-Q,1261734,2005-02-08,edgar/data/1261734/0001193125-05-022177.txt,2005-02-08
4693,AEP INDUSTRIES INC,10-Q,785787,2005-03-17,edgar/data/785787/0001047469-05-006928.txt,2005-03-17
4757,AEROFLEX INC,10-Q,2601,2005-02-09,edgar/data/2601/0001047469-05-002906.txt,2005-02-09
5086,AFFILIATED COMPUTER SERVICES INC,10-Q,2135,2005-02-08,edgar/data/2135/0000950134-05-002264.txt,2005-02-08
5281,AFP IMAGING CORP,10-Q,319126,2005-02-11,edgar/data/319126/0001157523-05-001373.txt,2005-02-11
5381,AGERE SYSTEMS INC,10-Q,1129446,2005-02-04,edgar/data/1129446/0000950117-05-000490.txt,2005-02-04
5413,AGILE SOFTWARE CORP,10-Q,1088653,2005-03-14,edgar/data/1088653/0001193125-05-049408.txt,2005-03-14
5420,AGILENT TECHNOLOGIES INC,10-Q,1090872,2005-03-10,edgar/data/1090872/0001193125-05-046644.txt,2005-03-10
5451,AGILYSYS INC,10-Q,78749,2005-02-09,edgar/data/78749/0000950152-05-000908.txt,2005-02-09
5607,"AHPC Holdings, Inc.",10-Q,837038,2005-02-18,edgar/data/837038/0000950137-05-001965.txt,2005-02-18
5988,AIR PRODUCTS & CHEMICALS INC /DE/,10-Q,2969,2005-02-08,edgar/data/2969/0000950123-05-001290.txt,2005-02-08
6022,AIR T INC,10-Q,353184,2005-01-28,edgar/data/353184/0000353184-05-000012.txt,2005-01-28
6031,AIRGAS CARBONIC INC,10-Q,1158058,2005-02-08,edgar/data/1158058/0000893220-05-000260.txt,2005-02-08
6041,AIRGAS EAST INC,10-Q,1158045,2005-02-08,edgar/data/1158045/0000893220-05-000260.txt,2005-02-08
6046,AIRGAS GREAT LAKES INC,10-Q,1158046,2005-02-08,edgar/data/1158046/0000893220-05-000260.txt,2005-02-08
6051,AIRGAS GULF STATES INC,10-Q,1158050,2005-02-08,edgar/data/1158050/0000893220-05-000260.txt,2005-02-08
6056,AIRGAS INC,10-Q,804212,2005-02-08,edgar/data/804212/0000893220-05-000260.txt,2005-02-08
6079,AIRGAS INTERMOUNTAIN INC,10-Q,1158051,2005-02-08,edgar/data/1158051/0000893220-05-000260.txt,2005-02-08
6084,AIRGAS MID AMERICA INC,10-Q,1158047,2005-02-08,edgar/data/1158047/0000893220-05-000260.txt,2005-02-08
6089,AIRGAS MID SOUTH INC,10-Q,1158193,2005-02-08,edgar/data/1158193/0000893220-05-000260.txt,2005-02-08
6094,AIRGAS NOR PAC INC,10-Q,1158052,2005-02-08,edgar/data/1158052/0000893220-05-000260.txt,2005-02-08
6099,AIRGAS NORTH CENTRAL INC,10-Q,1158048,2005-02-08,edgar/data/1158048/0000893220-05-000260.txt,2005-02-08
6104,AIRGAS NORTHERN CALIFORNIA & NEVADA INC,10-Q,1158053,2005-02-08,edgar/data/1158053/0000893220-05-000260.txt,2005-02-08
6109,AIRGAS SAFETY INC,10-Q,1158056,2005-02-08,edgar/data/1158056/0000893220-05-000260.txt,2005-02-08
6114,AIRGAS SOUTH INC,10-Q,1158049,2005-02-08,edgar/data/1158049/0000893220-05-000260.txt,2005-02-08
6119,AIRGAS SOUTHWEST INC,10-Q,1158054,2005-02-08,edgar/data/1158054/0000893220-05-000260.txt,2005-02-08
