,Company Name,CIK
0,1 800 FLOWERS COM INC,1084869
1,1ST CONSTITUTION BANCORP,1141807
2,1ST SOURCE CORP,34782
3,21ST CENTURY HOLDING CO,1069996
4,3D SYSTEMS CORP,910638
5,3M CO,66740
6,4 KIDS ENTERTAINMENT INC,58592
7,8X8 INC /DE/,1023731
8,A CONSULTING TEAM INC,1040792
9,"A.C. MOORE ARTS & CRAFTS, INC.",1042809
10,AAON INC,824142
11,AAR CORP,1750
12,AARON RENTS INC,706688
13,AASTROM BIOSCIENCES INC,887359
14,ABAXIS INC,881890
15,ABIOMED INC,815094
16,ABM INDUSTRIES INC /DE/,771497
17,ABRAXAS PETROLEUM CORP,867665
18,ABX AIR INC,894081
19,ACACIA RESEARCH CORP,934549
20,ACADIA PHARMACEUTICALS INC,1070494
21,"ACCELRYS, INC.",1002388
22,ACCERIS COMMUNICATIONS INC,849145
23,ACCESS NATIONAL CORP,1176316
24,ACCESS PHARMACEUTICALS INC,318306
25,ACCURIDE CORP,817979
26,ACETO CORP,2034
27,ACME UNITED CORP,2098
28,ACNB CORP,715579
29,ACTIVE POWER INC,1044435
30,ACTIVISION INC /NY,718877
31,ACTUANT CORP,6955
32,ACTUATE CORP,1062478
33,ACUITY BRANDS INC,1144215
34,"ACURA PHARMACEUTICALS, INC",786947
35,ACXIOM CORP,733269
36,ADAMS GOLF INC,1059763
37,ADAMS RESOURCES & ENERGY INC,2178
38,ADAPTEC INC,709804
39,ADDVANTAGE TECHNOLOGIES GROUP INC,874292
40,ADEPT TECHNOLOGY INC,865415
41,ADMINISTAFF INC \DE\,1000753
42,ADMIRAL FINANCIAL CORP,828530
43,ADOBE SYSTEMS INC,796343
44,ADOLOR CORP,1076167
45,ADTRAN INC,926282
46,ADVANCE AUTO PARTS INC,1158449
47,ADVANCED ENERGY INDUSTRIES INC,927003
48,ADVANCED MAGNETICS INC,792977
49,ADVANCED MICRO DEVICES INC,2488
50,ADVISORY BOARD CO,1157377
51,ADVOCAT INC,919956
52,"AEOLUS PHARMACEUTICALS, INC.",1261734
53,AES CORP,874761
54,AETNA INC /PA/,1122304
55,AETRIUM INC,908598
56,AFC ENTERPRISES INC,1041379
57,AFFILIATED MANAGERS GROUP INC,1004434
58,AFFIRMATIVE INSURANCE HOLDINGS INC,1282543
